iteration,reward_mean,length_mean,games,loss
106500,-1.0,2.0,9,
107000,-1.0,2.0,8,
107500,-1.0,2.0,8,
108000,-1.0,2.0,9,
108500,-1.0,2.0,8,
109000,-1.0,2.0,9,
109500,-1.0,2.0,8,
110000,-1.0,2.0,9,
110500,-1.0,2.0,9,
111000,-1.0,2.0,9,
111500,-1.0,2.0,9,
112000,-1.0,2.0,8,
112500,-1.0,2.0,9,
113000,-1.0,2.0,8,
113500,-0.89,2.11,9,
114000,-1.0,2.0,8,
114500,-1.0,2.0,8,
115000,-1.0,2.0,8,
115500,-1.0,2.0,10,
116000,-1.0,2.0,8,
116500,-0.89,2.11,9,
117000,-1.0,2.0,9,
117500,-1.0,2.0,8,
118000,-1.0,2.0,8,
118500,-1.0,2.0,8,
119000,-1.0,2.0,8,
119500,-1.0,2.0,11,
120000,-1.0,2.0,8,
120500,-1.0,2.0,12,
121000,-1.0,2.0,8,
121500,-1.0,2.0,11,
122000,-1.0,2.0,9,
122500,-1.0,2.0,9,
123000,-1.0,2.0,9,
123500,-0.88,2.12,8,
124000,-1.0,2.0,8,
124500,-1.0,2.0,8,
125000,-0.9,2.1,10,
125500,-1.0,2.0,8,
126000,-1.0,2.0,10,
126500,-1.0,2.0,10,
127000,-1.0,2.0,9,
127500,-1.0,2.0,10,
128000,-1.0,2.0,9,
128500,-1.0,2.0,10,
129000,-0.88,2.12,8,
129500,-1.0,2.0,8,
130000,-1.0,2.0,8,
130500,-0.89,2.11,9,
131000,-1.0,2.0,9,
131500,-1.0,2.0,9,
132000,-1.0,2.0,9,
132500,-1.0,2.0,8,
133000,-1.0,2.0,12,
133500,-0.9,2.1,10,
134000,-1.0,2.0,9,
134500,-1.0,2.0,8,
135000,-1.0,2.0,10,
135500,-1.0,2.0,9,
136000,-1.0,2.0,11,
136500,-1.0,2.0,9,
137000,-1.0,2.0,11,
137500,-1.0,2.0,10,
138000,-1.0,2.0,8,
138500,-1.0,2.0,8,
139000,-1.0,2.0,9,
139500,-1.0,2.0,9,
140000,-1.0,2.0,8,
140500,-1.0,2.0,8,
141000,-1.0,2.0,8,
141500,-0.88,2.12,8,
142000,-1.0,2.0,8,
142500,-1.0,2.0,8,
143000,-1.0,2.0,8,
143500,-1.0,2.0,8,
144000,-1.0,2.0,9,
144500,-1.0,2.0,8,
145000,-1.0,2.0,9,
145500,-1.0,2.0,8,
146000,-1.0,2.0,8,
146500,-1.0,2.0,9,
147000,-1.0,2.0,8,
147500,-1.0,2.0,9,
148000,-1.0,2.0,9,
148500,-1.0,2.0,10,
149000,-1.0,2.0,8,
149500,-0.88,2.12,8,
150000,-1.0,2.0,9,
150500,-1.0,2.0,8,
151000,-1.0,2.0,8,
151500,-1.0,2.0,10,
152000,-1.0,2.0,12,
152500,-1.0,2.0,9,
153000,-1.0,2.0,10,
153500,-0.9,2.1,10,
154000,-1.0,2.0,8,
154500,-1.0,2.0,11,
155000,-1.0,2.0,9,
155500,-0.9,2.1,10,
156000,-1.0,2.0,9,
156500,-1.0,2.0,11,
157000,-1.0,2.0,9,
157500,-1.0,2.0,10,
158000,-1.0,2.0,8,
158500,-0.91,2.09,11,
159000,-1.0,2.0,8,
159500,-1.0,2.0,10,
160000,-1.0,2.0,9,
160500,-1.0,2.0,10,
161000,-1.0,2.0,10,
161500,-1.0,2.0,9,
162000,-1.0,2.0,10,
162500,-1.0,2.0,9,
163000,-1.0,2.0,8,
163500,-1.0,2.0,8,
